case_public_id,field_name,service_alias,service_layer,metric_family,direction,magnitude_bucket,relative_offset_bucket,order_rank,serialized_expression
O25,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S04 application_service http_5xx_count
O26,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O26,maximum_change,S03,storage_dependency,http_4xx_count,up,extreme,not_applicable,,S03 storage_dependency http_4xx_count up extreme
O26,earliest_abnormal,S05,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S05 application_service cpu_usage up medium
O26,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service cpu_usage
O26,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,2,2 S04 application_service cpu_usage
O26,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,3,3 S05 application_service memory_usage
O26,change_order,S03,storage_dependency,http_4xx_count,not_applicable,not_applicable,anchor-10m_to_anchor,4,4 S03 storage_dependency http_4xx_count
O26,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,alert_anchor,5,5 S04 application_service latency_p95
O27,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O27,maximum_change,S04,application_service,http_5xx_count,down,extreme,not_applicable,,S04 application_service http_5xx_count down extreme
O27,earliest_abnormal,S05,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S05 application_service cpu_usage up medium
O27,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service cpu_usage
O27,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service http_5xx_count
O27,change_order,S05,application_service,latency_p99,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S05 application_service latency_p99
O27,change_order,S05,application_service,request_count,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S05 application_service request_count
O27,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S01 application_service cpu_usage
O28,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O28,maximum_change,S03,storage_dependency,http_4xx_count,up,extreme,not_applicable,,S03 storage_dependency http_4xx_count up extreme
O28,earliest_abnormal,S04,application_service,request_count,down,medium,anchor-30m_to_anchor-20m,,S04 application_service request_count down medium
O28,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S04 application_service request_count
O28,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S06 datastore db_cpu_utilization
O28,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S05 application_service cpu_usage
O28,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S04 application_service cpu_usage
O28,change_order,S03,storage_dependency,http_4xx_count,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S03 storage_dependency http_4xx_count
O29,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O29,maximum_change,S05,application_service,http_2xx_count,down,extreme,not_applicable,,S05 application_service http_2xx_count down extreme
O29,earliest_abnormal,S02,storage_dependency,latency_p95,up,medium,anchor-30m_to_anchor-20m,,S02 storage_dependency latency_p95 up medium
O29,change_order,S02,storage_dependency,latency_p95,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S02 storage_dependency latency_p95
O29,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service http_5xx_count
O29,change_order,S05,application_service,latency_p99,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S05 application_service latency_p99
O29,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S05 application_service cpu_usage
O29,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S01 application_service cpu_usage
O30,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O30,maximum_change,S01,application_service,latency_p99,down,extreme,not_applicable,,S01 application_service latency_p99 down extreme
O30,earliest_abnormal,S04,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S04 application_service cpu_usage up medium
O30,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S04 application_service cpu_usage
O30,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S05 application_service cpu_usage
O30,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S01 application_service cpu_usage
O30,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-10m_to_anchor,4,4 S02 storage_dependency cpu_usage
O30,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S01 application_service latency_p95
