case_id,raw_metrics_file,raw_file_size_bytes,raw_rows,timestamp_count,service_count,instance_count,metric_family_count,source_metric_count,first_timestamp,last_timestamp,metric_window_start_ts,metric_window_end_ts,anchor_ts,metric_families,source_metrics
S04_productcatalog_network_delay_run_03,raw/metrics_long.csv,2480745,23264,180,9,54,10,10,1776393622.654,1776395412.654,1776393612.65,1776395412.65,1776395412.65,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_04,raw/metrics_long.csv,2462710,23114,180,9,54,10,10,1776453518.486,1776455308.486,1776453518.49,1776455318.49,1776455318.49,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_05,raw/metrics_long.csv,2463780,23129,180,9,54,10,10,1776519561.311,1776521351.311,1776519561.31,1776521361.31,1776521361.31,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_06,raw/metrics_long.csv,2465241,23141,180,9,54,10,10,1776522317.936,1776524107.936,1776522317.94,1776524117.94,1776524117.94,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_07,raw/metrics_long.csv,2721926,25126,180,9,58,10,10,1776614998.373,1776616788.373,1776614998.37,1776616798.37,1776616798.37,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_08,raw/metrics_long.csv,2728409,25183,180,9,58,10,10,1776617657.053,1776619447.053,1776617647.05,1776619447.05,1776619447.05,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_09,raw/metrics_long.csv,2734501,25232,180,9,58,10,10,1776620284.122,1776622074.122,1776620274.12,1776622074.12,1776622074.12,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_10,raw/metrics_long.csv,2701529,25161,180,9,58,10,10,1776622893.64,1776624683.64,1776622893.64,1776624693.64,1776624693.64,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_11,raw/metrics_long.csv,1860989,17621,181,9,52,10,10,1777423412.0,1777425212.0,1777423412,1777425212,1777425212,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_12,raw/metrics_long.csv,1860981,17620,181,9,52,10,10,1777425124.0,1777426924.0,1777425124,1777426924,1777426924,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
