case_id,family_id,metric_row_index,change_order_rank,is_dominant,is_earliest,service,metric_family,earliest_offset_min,peak_offset_min,baseline_mean,baseline_std,earliest_value,earliest_delta_pct,earliest_residual_z,peak_value,peak_delta,peak_delta_pct,peak_residual_z,sustained_trigger_points,rank_score
S01_ad_high_cpu_run_02,S01_ad_high_cpu,4,,false,false,ad,pod_running_count,,-9.333,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,5,,false,false,cart,cpu_usage,-7.500,-6.167,0.0302442767128,0.00875918460565,0.0394691702361,30.50128661,1.05316806742,0.0409800683606,0.0107357916478,35.4969363287,1.22566107819,14,0.950499758246
S01_ad_high_cpu_run_02,S01_ad_high_cpu,6,,false,false,cart,memory_usage,,-9.333,60133805.4194,3006690.27097,,,,58798080,-1335725.41935,-2.22125543202,-0.444251086403,0,0.0872212966305
S01_ad_high_cpu_run_02,S01_ad_high_cpu,7,,false,false,cart,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,8,,false,false,cart,pod_running_count,,-9.333,1,0.05,,,,1,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,9,,false,false,checkout,cpu_usage,-8.333,-6.167,0.0369429684524,0.0100490748939,0.0482530179815,30.6148910141,1.12548166358,0.0593798299802,0.0224368615278,60.7337809268,2.23272905861,38,1.71445360544
S01_ad_high_cpu_run_02,S01_ad_high_cpu,10,,false,false,checkout,memory_usage,,-1.667,13517141.3333,675857.066667,,,,13722965.3333,205824,1.52268882099,0.304537764198,0,0.0597909143708
S01_ad_high_cpu_run_02,S01_ad_high_cpu,11,,false,false,checkout,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,12,,false,false,checkout,pod_running_count,,-9.333,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,13,,false,false,email,cpu_usage,-8.667,-6.500,0.00397791957093,0.00105504478079,0.00518987861848,30.46715817,1.14872758922,0.00639951358429,0.00242159401335,60.8758917865,2.29525235085,24,1.75570955913
S01_ad_high_cpu_run_02,S01_ad_high_cpu,14,,false,false,email,memory_usage,,-4.667,60194562.7527,3009728.13763,,,,60015957.3333,-178605.419355,-0.296713542199,-0.0593427084398,0,0.011650951757
S01_ad_high_cpu_run_02,S01_ad_high_cpu,15,,false,false,email,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,16,,false,false,email,pod_running_count,,-9.333,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,17,,false,false,frontend,cpu_usage,-8.833,-6.833,0.0527626761187,0.014351527104,0.0654294638792,24.0070987528,0.882609053982,0.0781308119406,0.0253681358219,48.0796989236,1.76762623504,48,2.0881575612
S01_ad_high_cpu_run_02,S01_ad_high_cpu,18,,false,false,frontend,memory_usage,,-3.000,119114465.72,5955723.28602,,,,112050176,-7064289.72043,-5.93067322067,-1.18613464413,0,0.232877768465
S01_ad_high_cpu_run_02,S01_ad_high_cpu,19,,false,false,frontend,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,20,,false,false,frontend,pod_running_count,,-9.333,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,21,1,false,false,kafka,cpu_usage,-9.333,-2.500,0.01444135299,0.00140791557464,0.019724949667,36.5865766226,3.75277947926,0.020185121532,0.00574376854204,39.7730638259,4.07962568602,8,2.82410663916
S01_ad_high_cpu_run_02,S01_ad_high_cpu,22,,false,false,kafka,memory_usage,,-3.167,685818483.613,34290924.1806,,,,686563328,744844.387097,0.108606636434,0.0217213272869,0,0.00426462059065
S01_ad_high_cpu_run_02,S01_ad_high_cpu,23,,false,false,kafka,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,24,,false,false,kafka,pod_running_count,,-9.333,1,0.05,,,,1,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,25,,false,false,kafka,queue_lag,-5.667,-5.667,0,1e-06,2,,2000000,2,2,,2000000,5,1.08
S01_ad_high_cpu_run_02,S01_ad_high_cpu,26,,false,false,payment,cpu_usage,-6.500,-6.000,0.0105155173125,0.000891346144733,0.0127647942321,21.3900738565,2.52346064751,0.0134328921364,0.00291737482384,27.7435216655,3.27299875708,6,2.24767111932
S01_ad_high_cpu_run_02,S01_ad_high_cpu,27,,false,false,payment,memory_usage,,-8.333,110566201.806,5528310.09032,,,,110164650.667,-401551.139785,-0.3631771131,-0.07263542262,0,0.0142607546411
S01_ad_high_cpu_run_02,S01_ad_high_cpu,28,,false,false,payment,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,29,,false,false,payment,pod_running_count,,-9.333,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,30,,false,false,product-catalog,cpu_usage,-6.667,-6.667,0.0184743387763,0.00526156945999,0.0222797928238,20.5985940474,0.723254549125,0.0222797928238,0.00380545404748,20.5985940474,0.723254549125,4,0.559376031137
S01_ad_high_cpu_run_02,S01_ad_high_cpu,31,,false,false,product-catalog,memory_usage,,-8.167,13128957.2473,656447.862366,,,,13802154.6667,673197.419355,5.12757720719,1.02551544144,0,0.201342865002
S01_ad_high_cpu_run_02,S01_ad_high_cpu,32,,false,false,product-catalog,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,33,,false,false,product-catalog,pod_running_count,,-9.333,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,34,,false,false,recommendation,cpu_usage,-7.167,-7.000,0.0174111466143,0.00224520312456,0.0223470054349,28.3488441621,2.1984019025,0.025026457365,0.00761531075062,43.7381346519,3.3918137149,10,2.39421083151
